LECROYMCM-Zi-A 70631 Waveform
Segments 1 SegmentSize 4002
Segment TrigTime TimeSinceSegment1
#1 15-Dec-2023 09:06:21 0                 
Time Ampl
-2.501089e-008 -0.00165283
-2.499839e-008 -0.00141724
-2.498589e-008 -0.000340576
-2.497339e-008 0.00289429
-2.496089e-008 0.00186523
-2.494839e-008 -0.00129883
-2.493589e-008 -0.00346924
-2.492339e-008 -0.00485352
-2.491089e-008 -0.00538818
-2.489839e-008 -0.00562256
-2.488589e-008 -0.00736816
-2.487339e-008 -0.00681152
-2.486089e-008 -0.00491943
-2.484839e-008 -0.00542358
-2.483589e-008 -0.00493652
-2.482339e-008 -0.00576172
-2.481089e-008 -0.00603149
-2.479839e-008 -0.00464355
-2.478589e-008 -0.00314575
-2.477339e-008 -0.00192749
-2.476089e-008 -0.00156372
-2.474839e-008 -0.00235229
-2.473589e-008 -0.00385132
-2.472339e-008 -0.00437012
-2.471089e-008 -0.00595093
-2.469839e-008 -0.005448
-2.468589e-008 -0.00546387
-2.467339e-008 -0.00596436
-2.466089e-008 -0.00718384
-2.464839e-008 -0.00659912
-2.463589e-008 -0.00589722
-2.462339e-008 -0.00618408
-2.461089e-008 -0.00557129
-2.459839e-008 -0.006698
-2.458589e-008 -0.00666504
-2.457339e-008 -0.00583374
-2.456089e-008 -0.00565186
-2.454839e-008 -0.00591309
-2.453589e-008 -0.00605835
-2.452339e-008 -0.00511963
-2.451089e-008 -0.00214966
-2.449839e-008 -0.000179443
-2.448589e-008 0.00308838
-2.447339e-008 0.00456177
-2.446089e-008 0.00453003
-2.444839e-008 0.00425659
-2.443589e-008 0.00418213
-2.442339e-008 0.00391479
-2.441089e-008 0.00112183
-2.439839e-008 -0.00105103
-2.438589e-008 -0.0021167
-2.437339e-008 -0.00249512
-2.436089e-008 -0.00321411
-2.434839e-008 -0.00195923
-2.433589e-008 -0.000612793
-2.432339e-008 1.2207e-005
-2.431089e-008 -0.00159912
-2.429839e-008 -0.00322998
-2.428589e-008 -0.00283203
-2.427339e-008 -0.0044458
-2.426089e-008 -0.00431519
-2.424839e-008 -0.00330078
-2.423589e-008 -0.0027063
-2.422339e-008 -0.00236328
-2.421089e-008 -0.00223755
-2.419839e-008 -0.00240601
-2.418589e-008 -0.00269409
-2.417339e-008 -0.00244507
-2.416089e-008 -0.00223267
-2.414839e-008 -0.00175049
-2.413589e-008 -0.00184082
-2.412339e-008 -0.00136963
-2.411089e-008 -0.000560303
-2.409839e-008 0.000245361
-2.408589e-008 -0.000483398
-2.407339e-008 -0.000899658
-2.406089e-008 -0.00118896
-2.404839e-008 -0.00140625
-2.403589e-008 -0.000338135
-2.402339e-008 0.000860596
-2.401089e-008 0.00312378
-2.399839e-008 0.00441528
-2.398589e-008 0.00666992
-2.397339e-008 0.00629639
-2.396089e-008 0.00596436
-2.394839e-008 0.00540039
-2.393589e-008 0.00561645
-2.392339e-008 0.00675171
-2.391089e-008 0.0057959
-2.389839e-008 0.00483887
-2.388589e-008 0.00233887
-2.387339e-008 -0.000965576
-2.386089e-008 -0.00390259
-2.384839e-008 -0.00497925
-2.383589e-008 -0.0051355
-2.382339e-008 -0.00598755
-2.381089e-008 -0.00512329
-2.379839e-008 -0.00154541
-2.378589e-008 0.0026355
-2.377339e-008 0.00535767
-2.376089e-008 0.0051123
-2.374839e-008 0.00451904
-2.373589e-008 0.00438843
-2.372339e-008 0.00380005
-2.371089e-008 0.000959473
-2.369839e-008 -0.00282349
-2.368589e-008 -0.00341553
-2.367339e-008 -0.00142578
-2.366089e-008 0.00278931
-2.364839e-008 0.00356934
-2.363589e-008 0.0015979
-2.362339e-008 -0.00010498
-2.361089e-008 -0.00162842
-2.359839e-008 -0.000810547
-2.358589e-008 0.00125366
-2.357339e-008 0.00443604
-2.356089e-008 0.00517334
-2.354839e-008 0.00574951
-2.353589e-008 0.00498169
-2.352339e-008 0.00379517
-2.351089e-008 0.00150635
-2.349839e-008 -0.000637207
-2.348589e-008 -0.000911865
-2.347339e-008 0.00128906
-2.346089e-008 0.00446655
-2.344839e-008 0.00291626
-2.343589e-008 0.00588623
-2.342339e-008 0.0067102
-2.341089e-008 0.00658081
-2.339839e-008 0.00626221
-2.338589e-008 0.00530029
-2.337339e-008 0.00587524
-2.336089e-008 0.00503174
-2.334839e-008 0.0055481
-2.333589e-008 0.00547974
-2.332339e-008 0.00550049
-2.331089e-008 0.00584106
-2.329839e-008 0.00580688
-2.328589e-008 0.00589478
-2.327339e-008 0.00559204
-2.326089e-008 0.00606323
-2.324839e-008 0.00621582
-2.323589e-008 0.00613525
-2.322339e-008 0.00689453
-2.321089e-008 0.00526367
-2.319839e-008 0.0021228
-2.318589e-008 -0.00101807
-2.317339e-008 -0.00275635
-2.316089e-008 -0.00508057
-2.314839e-008 -0.00554687
-2.313589e-008 -0.00421509
-2.312339e-008 -0.00238037
-2.311089e-008 0.00115356
-2.309839e-008 0.00368774
-2.308589e-008 0.00606201
-2.307339e-008 0.00563721
-2.306089e-008 0.00635254
-2.304839e-008 0.00612427
-2.303589e-008 0.00306885
-2.302339e-008 -0.000666504
-2.301089e-008 -0.00181519
-2.299839e-008 -0.000257568
-2.298589e-008 0.00214478
-2.297339e-008 0.00579834
-2.296089e-008 0.00604248
-2.294839e-008 0.00570312
-2.293589e-008 0.00596924
-2.292339e-008 0.00658447
-2.291089e-008 0.00657471
-2.289839e-008 0.00402466
-2.288589e-008 0.00284302
-2.287339e-008 0.000820312
-2.286089e-008 -0.00524902
-2.284839e-008 -0.00558838
-2.283589e-008 -0.00512085
-2.282339e-008 -0.00563843
-2.281089e-008 -0.00416504
-2.279839e-008 -0.00314453
-2.278589e-008 0.000267334
-2.277339e-008 0.00371826
-2.276089e-008 0.00294067
-2.274839e-008 0.000324707
-2.273589e-008 -0.00306885
-2.272339e-008 -0.00160156
-2.271089e-008 -0.000230713
-2.269839e-008 0.00300049
-2.268589e-008 0.00428223
-2.267339e-008 0.00431641
-2.266089e-008 0.00602417
-2.264839e-008 0.00480835
-2.263589e-008 0.00599854
-2.262339e-008 0.00570557
-2.261089e-008 0.00567749
-2.259839e-008 0.00552002
-2.258589e-008 0.00523071
-2.257339e-008 0.00456299
-2.256089e-008 0.00275024
-2.254839e-008 -0.00131592
-2.253589e-008 -0.00522095
-2.252339e-008 -0.00581177
-2.251089e-008 -0.00590332
-2.249839e-008 -0.00476807
-2.248589e-008 -0.00344727
-2.247339e-008 0.000820312
-2.246089e-008 0.00439331
-2.244839e-008 0.00568604
-2.243589e-008 0.00556763
-2.242339e-008 0.00632446
-2.241089e-008 0.00741577
-2.239839e-008 0.00472168
-2.238589e-008 0.0050647
-2.237339e-008 0.00614136
-2.236089e-008 0.00482422
-2.234839e-008 0.00363647
-2.233589e-008 0.00472778
-2.232339e-008 0.00557617
-2.231089e-008 0.00450317
-2.229839e-008 0.00504639
-2.228589e-008 0.00434937
-2.227339e-008 0.00408325
-2.226089e-008 0.00280762
-2.224839e-008 0.00164673
-2.223589e-008 0.00151367
-2.222339e-008 0.0009729
-2.221089e-008 0.00101196
-2.219839e-008 0.000489502
-2.218589e-008 -0.000650635
-2.217339e-008 0.000809326
-2.216089e-008 0.000146484
-2.214839e-008 -0.000748291
-2.213589e-008 -0.000946045
-2.212339e-008 -0.00277466
-2.211089e-008 -0.00360229
-2.209839e-008 -0.00501953
-2.208589e-008 -0.00424561
-2.207339e-008 -0.00495605
-2.206089e-008 -0.00612427
-2.204839e-008 -0.00560547
-2.203589e-008 -0.00489868
-2.202339e-008 -0.00623047
-2.201089e-008 -0.00542847
-2.199839e-008 -0.00518188
-2.198589e-008 -0.00462158
-2.197339e-008 -0.00393555
-2.196089e-008 -0.00651245
-2.194839e-008 -0.00515869
-2.193589e-008 -0.00496094
-2.192339e-008 -0.00432861
-2.191089e-008 -0.00303833
-2.189839e-008 -0.00185913
-2.188589e-008 -0.00174316
-2.187339e-008 -0.00324463
-2.186089e-008 -0.00404785
-2.184839e-008 -0.00531372
-2.183589e-008 -0.0056311
-2.182339e-008 -0.00587891
-2.181089e-008 -0.00613281
-2.179839e-008 -0.00586182
-2.178589e-008 -0.00583374
-2.177339e-008 -0.00595581
-2.176089e-008 -0.00556885
-2.174839e-008 -0.00560425
-2.173589e-008 -0.00614746
-2.172339e-008 -0.00608887
-2.171089e-008 -0.00599731
-2.169839e-008 -0.00608276
-2.168589e-008 -0.00627686
-2.167339e-008 -0.00587891
-2.166089e-008 -0.00649048
-2.164839e-008 -0.00523315
-2.163589e-008 -0.00300537
-2.162339e-008 0.000770264
-2.161089e-008 0.00415771
-2.159839e-008 0.00596924
-2.158589e-008 0.00657837
-2.157339e-008 0.00465088
-2.156089e-008 0.00580566
-2.154839e-008 0.00582764
-2.153589e-008 0.00387329
-2.152339e-008 0.00244995
-2.151089e-008 -0.000771484
-2.149839e-008 -0.00392456
-2.148589e-008 -0.00548828
-2.147339e-008 -0.00605225
-2.146089e-008 -0.00528931
-2.144839e-008 -0.00293213
-2.143589e-008 -4.63867e-005
-2.142339e-008 0.00303101
-2.141089e-008 0.00468872
-2.139839e-008 0.00533447
-2.138589e-008 0.00569092
-2.137339e-008 0.00556274
-2.136089e-008 0.00329468
-2.134839e-008 -0.000408936
-2.133589e-008 -0.000611572
-2.132339e-008 -0.00163086
-2.131089e-008 0.0011438
-2.129839e-008 0.0045813
-2.128589e-008 0.00621704
-2.127339e-008 0.006604
-2.126089e-008 0.00609619
-2.124839e-008 0.00413818
-2.123589e-008 0.00161499
-2.122339e-008 -0.000977783
-2.121089e-008 -0.00414795
-2.119839e-008 -0.00558228
-2.118589e-008 -0.00630615
-2.117339e-008 -0.00631226
-2.116089e-008 -0.00606323
-2.114839e-008 -0.00557495
-2.113589e-008 -0.00586304
-2.112339e-008 -0.00546143
-2.111089e-008 -0.00559448
-2.109839e-008 -0.00541626
-2.108589e-008 -0.00547241
-2.107339e-008 -0.00334106
-2.106089e-008 -0.00113403
-2.104839e-008 0.00216553
-2.103589e-008 0.00122192
-2.102339e-008 -0.0018042
-2.101089e-008 -0.00371338
-2.099839e-008 -0.00211304
-2.098589e-008 0.00345093
-2.097339e-008 0.00568115
-2.096089e-008 0.00633057
-2.094839e-008 0.00583618
-2.093589e-008 0.00594482
-2.092339e-008 0.00331543
-2.091089e-008 0.0020874
-2.089839e-008 -0.00280518
-2.088589e-008 -0.00344971
-2.087339e-008 -0.000118408
-2.086089e-008 0.00231689
-2.084839e-008 0.00496338
-2.083589e-008 0.00565063
-2.082339e-008 0.0045874
-2.081089e-008 0.00470093
-2.079839e-008 0.00310303
-2.078589e-008 -0.00192383
-2.077339e-008 -0.00291748
-2.076089e-008 -0.00325439
-2.074839e-008 -0.00109131
-2.073589e-008 0.00214478
-2.072339e-008 0.00177246
-2.071089e-008 0.000913086
-2.069839e-008 -0.000397949
-2.068589e-008 -0.00175049
-2.067339e-008 -0.000505371
-2.066089e-008 0.00260132
-2.064839e-008 0.00510498
-2.063589e-008 0.00681641
-2.062339e-008 0.00594971
-2.061089e-008 0.00560059
-2.059839e-008 0.00641357
-2.058589e-008 0.00575439
-2.057339e-008 0.00652466
-2.056089e-008 0.00303467
-2.054839e-008 -0.000175781
-2.053589e-008 -0.00288208
-2.052339e-008 -0.00480347
-2.051089e-008 -0.0049585
-2.049839e-008 -0.00539185
-2.048589e-008 -0.00612915
-2.047339e-008 -0.00580688
-2.046089e-008 -0.00545166
-2.044839e-008 -0.00494141
-2.043589e-008 -0.00447754
-2.042339e-008 -0.00559082
-2.041089e-008 -0.00579956
-2.039839e-008 -0.00563721
-2.038589e-008 -0.00476807
-2.037339e-008 -0.00402832
-2.036089e-008 -0.00359253
-2.034839e-008 -0.000272217
-2.033589e-008 0.000653076
-2.032339e-008 0.0020459
-2.031089e-008 0.00288208
-2.029839e-008 0.00199219
-2.028589e-008 0.00176636
