LECROYMCM-Zi-A 70631 Waveform
Segments 1 SegmentSize 40002
Segment TrigTime TimeSinceSegment1
#1 25-Jan-2024 10:03:40 0                 
Time Ampl
-2.5001232e-007 0.00787964
-2.4999982e-007 0.00733643
-2.4998732e-007 0.0103882
-2.4997482e-007 0.00808105
-2.4996232e-007 0.00769043
-2.4994982e-007 0.0110596
-2.4993732e-007 0.0129639
-2.4992482e-007 0.0105835
-2.4991232e-007 0.0127808
-2.4989982e-007 0.0137695
-2.4988732e-007 0.0149353
-2.4987482e-007 0.0156555
-2.4986232e-007 0.0215088
-2.4984982e-007 0.0295959
-2.4983732e-007 0.0417969
-2.4982482e-007 0.0601746
-2.4981232e-007 0.0521362
-2.4979982e-007 0.015155
-2.4978732e-007 -0.0118835
-2.4977482e-007 -0.0115784
-2.4976232e-007 -0.0653076
-2.4974982e-007 -0.109332
-2.4973732e-007 -0.0651611
-2.4972482e-007 -0.0164978
-2.4971232e-007 0.00622559
-2.4969982e-007 0.0302124
-2.4968732e-007 0.0458984
-2.4967482e-007 0.0613586
-2.4966232e-007 0.0652405
-2.4964982e-007 0.040509
-2.4963732e-007 -0.00320435
-2.4962482e-007 -0.0163818
-2.4961232e-007 -0.0258728
-2.4959982e-007 -0.0721619
-2.4958732e-007 -0.0893677
-2.4957482e-007 -0.0456787
-2.4956232e-007 -0.0108948
-2.4954982e-007 0.00930786
-2.4953732e-007 0.0323364
-2.4952482e-007 0.052771
-2.4951232e-007 0.059906
-2.4949982e-007 0.0583496
-2.4948732e-007 0.0359497
-2.4947482e-007 -0.00926514
-2.4946232e-007 -0.0182617
-2.4944982e-007 -0.0340698
-2.4943732e-007 -0.0777954
-2.4942482e-007 -0.0832703
-2.4941232e-007 -0.0381348
-2.4939982e-007 -0.00540161
-2.4938732e-007 0.0163086
-2.4937482e-007 0.0271729
-2.4936232e-007 0.0433777
-2.4934982e-007 0.0565491
-2.4933732e-007 0.0657715
-2.4932482e-007 0.0468872
-2.4931232e-007 0.014325
-2.4929982e-007 0.0138733
-2.4928732e-007 -0.0182373
-2.4927482e-007 -0.128198
-2.4926232e-007 -0.138013
-2.4924982e-007 -0.0449707
-2.4923732e-007 0.00895386
-2.4922482e-007 0.0542603
-2.4921232e-007 0.0493896
-2.4919982e-007 0.00999146
-2.4918732e-007 -0.0366638
-2.4917482e-007 -0.0177856
-2.4916232e-007 0.023584
-2.4914982e-007 0.0127747
-2.4913732e-007 -0.0681274
-2.4912482e-007 -0.0989197
-2.4911232e-007 -0.0394897
-2.4909982e-007 0.000439453
-2.4908732e-007 0.0241211
-2.4907482e-007 0.0296753
-2.4906232e-007 0.038916
-2.4904982e-007 0.0505493
-2.4903732e-007 0.0504883
-2.4902482e-007 0.0502197
-2.4901232e-007 0.0530334
-2.4899982e-007 0.0537476
-2.4898732e-007 0.0259766
-2.4897482e-007 0.00127563
-2.4896232e-007 -0.0604492
-2.4894982e-007 -0.2
-2.4893732e-007 -0.17796
-2.4892482e-007 -0.0234192
-2.4891232e-007 0.025415
-2.4889982e-007 0.0415833
-2.4888732e-007 -0.0167603
-2.4887482e-007 -0.0515442
-2.4886232e-007 -0.0280029
-2.4884982e-007 0.00283203
-2.4883732e-007 0.0151917
-2.4882482e-007 0.0332214
-2.4881232e-007 0.0388
-2.4879982e-007 0.0496338
-2.4878732e-007 0.0486389
-2.4877482e-007 0.0395325
-2.4876232e-007 0.0484741
-2.4874982e-007 0.0487183
-2.4873732e-007 -0.00470581
-2.4872482e-007 -0.0447083
-2.4871232e-007 -0.0879517
-2.4869982e-007 -0.197516
-2.4868732e-007 -0.120331
-2.4867482e-007 -0.023877
-2.4866232e-007 -0.000958252
-2.4864982e-007 0.0206421
-2.4863732e-007 0.0141846
-2.4862482e-007 0.0186035
-2.4861232e-007 0.0142273
-2.4859982e-007 0.0117554
-2.4858732e-007 0.00909424
-2.4857482e-007 0.00958252
-2.4856232e-007 0.00458984
-2.4854982e-007 0.0132507
-2.4853732e-007 0.0139587
-2.4852482e-007 0.0262573
-2.4851232e-007 0.037384
-2.4849982e-007 0.0556641
-2.4848732e-007 0.0519959
-2.4847482e-007 0.015564
-2.4846232e-007 0.00220337
-2.4844982e-007 0.00616455
-2.4843732e-007 -0.102631
-2.4842482e-007 -0.158032
-2.4841232e-007 -0.0641052
-2.4839982e-007 0.00271606
-2.4838732e-007 0.0463928
-2.4837482e-007 0.057843
-2.4836232e-007 0.0378601
-2.4834982e-007 -0.0088501
-2.4833732e-007 -0.0144897
-2.4832482e-007 0.0195923
-2.4831232e-007 0.00845337
-2.4829982e-007 -0.0830811
-2.4828732e-007 -0.10899
-2.4827482e-007 -0.0442383
-2.4826232e-007 -0.00241089
-2.4824982e-007 0.0114807
-2.4823732e-007 0.0261414
-2.4822482e-007 0.0405457
-2.4821232e-007 0.0427246
-2.4819982e-007 0.0461182
-2.4818732e-007 0.0496155
-2.4817482e-007 0.0512207
-2.4816232e-007 0.045459
-2.4814982e-007 0.0490295
-2.4813732e-007 0.0391602
-2.4812482e-007 -0.00269775
-2.4811232e-007 -0.0498352
-2.4809982e-007 -0.2
-2.4808732e-007 -0.2
-2.4807482e-007 -0.0524536
-2.4806232e-007 0.00523682
-2.4804982e-007 0.053595
-2.4803732e-007 0.0496094
-2.4802482e-007 0.0287048
-2.4801232e-007 0.0100708
-2.4799982e-007 0.0349365
-2.4798732e-007 0.0429565
-2.4797482e-007 -0.052771
-2.4796232e-007 -0.126941
-2.4794982e-007 -0.0700439
-2.4793732e-007 0.013739
-2.4792482e-007 0.0395142
-2.4791232e-007 0.0111755
-2.4789982e-007 -0.0641785
-2.4788732e-007 -0.0671997
-2.4787482e-007 -0.0157288
-2.4786232e-007 0.0180664
-2.4784982e-007 0.0421875
-2.4783732e-007 0.0570251
-2.4782482e-007 0.0404846
-2.4781232e-007 0.00368652
-2.4779982e-007 0.00846558
-2.4778732e-007 0.0239685
-2.4777482e-007 -0.0617676
-2.4776232e-007 -0.132294
-2.4774982e-007 -0.0702515
-2.4773732e-007 -0.00457153
-2.4772482e-007 0.0377747
-2.4771232e-007 0.0650696
-2.4769982e-007 0.0464783
-2.4768732e-007 0.00888062
-2.4767482e-007 -0.0182983
-2.4766232e-007 0.00864258
-2.4764982e-007 -0.00169067
-2.4763732e-007 -0.0772644
-2.4762482e-007 -0.102527
-2.4761232e-007 -0.0461548
-2.4759982e-007 -0.00516968
-2.4758732e-007 0.0187927
-2.4757482e-007 0.0311707
-2.4756232e-007 0.0459778
-2.4754982e-007 0.0639465
-2.4753732e-007 0.06427
-2.4752482e-007 0.0451782
-2.4751232e-007 0.0126648
-2.4749982e-007 0.00826416
-2.4748732e-007 -0.0609192
-2.4747482e-007 -0.146655
-2.4746232e-007 -0.0969727
-2.4744982e-007 -0.0187256
-2.4743732e-007 0.020105
-2.4742482e-007 0.0485901
-2.4741232e-007 0.0448547
-2.4739982e-007 0.00626221
-2.4738732e-007 -0.0374329
-2.4737482e-007 -0.017749
-2.4736232e-007 0.00292358
-2.4734982e-007 0.0128906
-2.4733732e-007 -0.0159973
-2.4732482e-007 -0.0555359
-2.4731232e-007 -0.0475098
-2.4729982e-007 -0.0167969
-2.4728732e-007 0.0144653
-2.4727482e-007 0.0368896
-2.4726232e-007 0.0547119
-2.4724982e-007 0.0542725
-2.4723732e-007 0.0176147
-2.4722482e-007 -0.0178345
-2.4721232e-007 -0.0078064
-2.4719982e-007 -0.00627441
-2.4718732e-007 -0.0682617
-2.4717482e-007 -0.0913147
-2.4716232e-007 -0.0486877
-2.4714982e-007 -0.012915
-2.4713732e-007 0.0143616
-2.4712482e-007 0.0249512
-2.4711232e-007 0.0411804
-2.4709982e-007 0.0507019
-2.4708732e-007 0.0651611
-2.4707482e-007 0.0551575
-2.4706232e-007 0.0315125
-2.4704982e-007 0.0275574
-2.4703732e-007 -0.000152588
-2.4702482e-007 -0.123792
-2.4701232e-007 -0.149329
-2.4699982e-007 -0.0508301
-2.4698732e-007 0.00338135
-2.4697482e-007 0.0350952
-2.4696232e-007 0.00427856
-2.4694982e-007 -0.0403992
-2.4693732e-007 -0.0381165
-2.4692482e-007 -0.011438
-2.4691232e-007 0.011554
-2.4689982e-007 0.0338074
-2.4688732e-007 0.0604431
-2.4687482e-007 0.0528198
-2.4686232e-007 0.0224854
-2.4684982e-007 -0.005896
-2.4683732e-007 -0.0012146
-2.4682482e-007 -0.0257507
-2.4681232e-007 -0.0965454
-2.4679982e-007 -0.093573
-2.4678732e-007 -0.043988
-2.4677482e-007 -0.00166626
-2.4676232e-007 0.0229919
-2.4674982e-007 0.0373352
-2.4673732e-007 0.0432129
-2.4672482e-007 0.062207
-2.4671232e-007 0.0694885
-2.4669982e-007 0.0495239
-2.4668732e-007 0.0196533
-2.4667482e-007 0.020343
-2.4666232e-007 -0.0424561
-2.4664982e-007 -0.1474
-2.4663732e-007 -0.120123
-2.4662482e-007 -0.0282471
-2.4661232e-007 0.0220032
-2.4659982e-007 0.0477966
-2.4658732e-007 0.0211731
-2.4657482e-007 -0.0370361
-2.4656232e-007 -0.038855
-2.4654982e-007 -0.0115479
-2.4653732e-007 0.0307495
-2.4652482e-007 0.052124
-2.4651232e-007 0.0316834
-2.4649982e-007 -0.0388489
-2.4648732e-007 -0.0625427
-2.4647482e-007 -0.0113525
-2.4646232e-007 0.0235413
-2.4644982e-007 0.0215271
-2.4643732e-007 -0.0424377
-2.4642482e-007 -0.0777649
-2.4641232e-007 -0.0377441
-2.4639982e-007 0.000268555
-2.4638732e-007 0.0258362
-2.4637482e-007 0.0498108
-2.4636232e-007 0.0636536
-2.4634982e-007 0.0393494
-2.4633732e-007 0.0165039
-2.4632482e-007 0.0278381
-2.4631232e-007 0.0109253
-2.4629982e-007 -0.107928
-2.4628732e-007 -0.137292
-2.4627482e-007 -0.0475647
-2.4626232e-007 0.0119507
-2.4624982e-007 0.0448547
-2.4623732e-007 0.0291016
-2.4622482e-007 -0.0291626
-2.4621232e-007 -0.0524963
